AL	3 0 0 0 0 0 0 0
AN	1 0 0 0 0 0 0 0
AO	1 0 0 0 0 0 0 0
AP	4 0 0 0 0 0 0 0
AS	5 0 0 0 0 0 0 0
AT	5 0 0 0 0 0 0 0
Am	1 0 0 0 0 0 0 0
A연	1 0 0 0 0 0 0 0
A올	1 0 0 0 0 0 0 0
BB	10 0 0 0 0 0 0 0
BC	68 4 0 0 0 0 0 0
BH	2 0 0 0 0 0 0 0
BM	2 0 0 0 0 0 0 0
BN	1 0 0 0 0 0 0 0
BS	10 0 0 0 0 0 0 0
BT	4 0 0 0 0 0 0 0
Bo	1 0 0 0 0 0 0 0
C-	1 0 0 0 0 0 0 0
CA	12 0 0 0 0 0 0 0
CB	2 0 0 0 0 0 0 0
CC	2 0 0 0 0 0 0 0
CD	0 2 0 0 0 0 0 0
CI	2 0 0 0 0 0 0 0
CM	1 0 0 0 0 0 0 0
CN	5 0 0 0 0 0 0 0
CO	0 1 0 0 0 0 0 0
Co	0 1 0 0 0 0 0 0
C―	1 0 0 0 0 0 0 0
C그	1 0 0 0 0 0 0 0
C미	2 0 0 0 0 0 0 0
C애	34 0 0 0 0 0 0 0
C카	0 4 0 0 0 0 0 0
DB	2 0 0 0 0 0 0 0
DO	2 0 0 0 0 0 0 0
Da	1 0 0 0 0 0 0 0
D기	0 2 0 0 0 0 0 0
E.	1 0 0 0 0 0 0 0
EC	12 0 0 0 0 0 0 0
EM	2 0 0 0 0 0 0 0
ET	1 0 0 0 0 0 0 0
EU	1 0 0 0 0 0 0 0
E사	1 0 0 0 0 0 0 0
FC	2 0 0 0 0 0 0 0
FK	3 0 0 0 0 0 0 0
F·	1 0 0 0 0 0 0 0
G.	1 0 0 0 0 0 0 0
GB	2 0 0 0 0 0 0 0
GE	1 0 0 0 0 0 0 0
G그	1 0 0 0 0 0 0 0
G유	1 0 0 0 0 0 0 0
H-	2 0 0 0 0 0 0 0
H.	2 0 0 0 0 0 0 0
HK	12 0 0 0 0 0 0 0
HP	1 0 0 0 0 0 0 0
Ha	1 0 0 0 0 0 0 0
IA	1 0 0 0 0 0 0 0
IB	2 0 0 0 0 0 0 0
IC	1 0 0 0 0 0 0 0
IM	11 0 0 0 0 0 0 0
IN	1 0 0 0 0 0 0 0
IT	3 0 0 0 0 0 0 0
I커	1 0 0 0 0 0 0 0
KA	3 0 0 0 0 0 0 0
KB	6 0 0 0 0 0 0 0
KN	3 0 0 0 0 0 0 0
Kh	1 0 0 0 0 0 0 0
Ko	1 0 0 0 0 0 0 0
LA	1 0 0 0 0 0 0 0
LG	2 0 0 0 0 0 0 0
L기	3 0 0 0 0 0 0 0
M.	1 0 0 0 0 0 0 0
MB	38 0 0 0 0 0 0 0
MC	11 0 0 0 0 0 0 0
MF	11 0 0 0 0 0 0 0
MI	3 0 0 0 0 0 0 0
MT	1 0 0 0 0 0 0 0
Ma	2 0 0 0 0 0 0 0
Me	0 1 0 0 0 0 0 0
Mo	1 0 0 0 0 0 0 0
NA	2 0 0 0 0 0 0 0
NB	6 0 0 0 0 0 0 0
ND	1 0 0 0 0 0 0 0
NE	1 0 0 0 0 0 0 0
NG	13 0 0 0 0 0 0 0
NH	12 0 0 0 0 0 0 0
NN	5 0 0 0 0 0 0 0
Na	0 1 0 0 0 0 0 0
Ne	1 0 0 0 0 0 0 0
Ni	1 0 0 0 0 0 0 0
O3	0 1 0 0 0 0 0 0
OZ	1 0 0 0 0 0 0 0
On	1 0 0 0 0 0 0 0
O형	0 3 0 0 0 0 0 0
P.	1 0 0 0 0 0 0 0
PA	1 0 0 0 0 0 0 0
